▼Profit,▼Profit.1,Bookmaker,▲▼,Event,Market,Odds,Unnamed: 7,Unnamed: 8
,1.00%  11m,Novi​Bet Football,15/05 02:00,Independiente Del Valle – Guayaquil City Ecuador - Serie A,Under 3.25,1.92,●,
,1.00%  11m,Blaze Football,15/05 02:00,CSD Independiente del Valle – Guayaquil City FC Ecuador - LigaPro Primera A,Over 2.5,1.52,,
,1.00%  11m,Pin​nacle Football,15/05 02:00,Independiente del Valle – Guayaquil City Ecuador - Serie A,Over 3.5,2.440,,
,1.00%  11m,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,
,1.00%  2m,Pin​nacle Football,14/05 22:30,Defensa y Justicia – Estudiantes de La Plata Argentina - Liga Pro,AH1(+1.25),1.186,,
,1.00%  2m,Betcris Football,14/05 22:30,Defensa y Justicia – Estudiantes de La Plata SOUTH AMERICA - ARGENTINA - PRIMERA DIVISION,2,2.59,,
,1.00%  2m,Luckia Football,14/05 22:30,Defensa y Justicia – Estudiantes de La Plata Argentina - Argentina 1,2(1:0),7.90,●,
,1.00%  2m,+ 230 surebets for this event,+ 230 surebets for this event,+ 230 surebets for this event,+ 230 surebets for this event,+ 230 surebets for this event,+ 230 surebets for this event,
,1.00%  24m,Pin​nacle Football,14/05 17:00,Jahn Regensburg – Hamburger SV Germany - Bundesliga 2,AH2(+0.25),1.398,,
,1.00%  24m,Ten​nisi Football,14/05 17:00,Регенсбург – Гамбург Футбол :: Чемпионат Германии. 2-я бундеслига,1X,1.95,,
,1.00%  24m,Cool​Bet Football,14/05 17:00,SSV Jahn Regensburg – Hamburger SV Germany - 2.Bundesliga,1,4.25,●,
,1.00%  24m,+ 848 surebets for this event,+ 848 surebets for this event,+ 848 surebets for this event,+ 848 surebets for this event,+ 848 surebets for this event,+ 848 surebets for this event,
,1.00%  3h,Pin-up Football,14/05 18:30,Monza 1912 – Napoli Italy - Italy. Serie A,Over 0.75 1st team,1.72,●,
,1.00%  3h,Fav​Bet Football,14/05 18:30,Monza – SSC Napoli Italy - Serie A,Under 1 1st team,1.91,,
,1.00%  3h,Pin​nacle Football,14/05 18:30,AC Monza – Napoli Italy - Serie A,Under 0.5 1st team,3.010,,
,1.00%  3h,+ 487 surebets for this event,+ 487 surebets for this event,+ 487 surebets for this event,+ 487 surebets for this event,+ 487 surebets for this event,+ 487 surebets for this event,
,1.00%  11m,Pin​nacle Football,20/05 12:30,Ansan Greeners – Seongnam FC Korea Republic - K League 2,AH1(+0.25),1.900,●,
,1.00%  11m,Supra​bets Football,20/05 12:30,Ansan Greeners FC – Seongnam FC Korea (South) - K League 2,AH2(+0.5),1.45,,
,1.00%  11m,Sport​ing​Win Football,20/05 12:30,Ansan Greeners FC – Seongnam FC Korea (South) - K League 2,2,2.54,○,
,1.00%  11m,+ 634 surebets for this event,+ 634 surebets for this event,+ 634 surebets for this event,+ 634 surebets for this event,+ 634 surebets for this event,+ 634 surebets for this event,
,1.00%  4m,Galera​Bet Football,14/05 16:30,Hudiksvalls FF – Kungsangens IF Sweden - 2nd Division,AH1(−0.25),1.39,,
,1.00%  4m,Pin​nacle Football,14/05 16:30,Hudiksvalls FF – Kungsangens IF Sweden - 2nd Div. Norra Svealand,X,5.480,,
,1.00%  4m,Ger​ma​ni​a (HR) Football,14/05 16:30,Hudiksvall – Kungsangens Sweden 4 Norra Svealand,2,6.50,●,
,1.00%  4m,+ 51 surebets for this event,+ 51 surebets for this event,+ 51 surebets for this event,+ 51 surebets for this event,+ 51 surebets for this event,+ 51 surebets for this event,
,1.00%  7m,Pin​nacle Football,14/05 17:30,FC Midtjylland – AC Horsens Denmark - Superliga,AH2(+0.75),3.300,○,
,1.00%  7m,Ger​ma​ni​a (HR) Football,14/05 17:30,Midtjylland – Horsens Denmark - Superliga - Play out,1,1.40,●,
,1.00%  7m,WWin Football,14/05 17:30,FC Midtjylland – Horsens Denmark - Superliga Relegation Round,1(0:1),1.87,,
,1.00%  7m,+ 1525 surebets for this event,+ 1525 surebets for this event,+ 1525 surebets for this event,+ 1525 surebets for this event,+ 1525 surebets for this event,+ 1525 surebets for this event,
,1.00%  52m,Most​Bet Football,15/05 00:45,Fylkir Reykjavik – Fram Iceland - Premier League,Over 1 2nd team,1.50,●,
,1.00%  52m,Pin​nacle Football,15/05 00:45,Fylkir Reykjavik – Fram Reykjavik Iceland - Premier League,Under 1.5 2nd team,1.884,,
,1.00%  52m,Pin​nacle Football,15/05 00:45,Fylkir Reykjavik – Fram Reykjavik Iceland - Premier League,Total =0 2nd team,4.550,,
,1.00%  52m,+ 312 surebets for this event,+ 312 surebets for this event,+ 312 surebets for this event,+ 312 surebets for this event,+ 312 surebets for this event,+ 312 surebets for this event,
,1.00%  3h,Pin​nacle Football,14/05 18:30,Fiorentina – Udinese Italy - Serie A,AH2(+0.25),2.360,,
,1.00%  3h,KTO Football,14/05 18:30,Fiorentina – Udinese Italy - Serie A,X,3.67,,
,1.00%  3h,Moz​zart Football,14/05 18:30,Fiorentina – Udinese Italy - Serie A,1,2.05,●,
,1.00%  3h,+ 280 surebets for this event,+ 280 surebets for this event,+ 280 surebets for this event,+ 280 surebets for this event,+ 280 surebets for this event,+ 280 surebets for this event,
,1.00%  8h,Novi​Bet Football,15/05 03:30,Brusque SC – Volta Redonda Brazil - Serie C,X / HNB,1.76,,
,1.00%  8h,Liga​Stavok Football,15/05 03:30,Бруске – Вольта Редонда Бразилия - Серия C,1,2.06,○,
,1.00%  8h,Pin​nacle Football,15/05 03:30,Brusque – Volta Redonda Brazil - Serie C,2,4.710,●,
,1.00%  8h,+ 506 surebets for this event,+ 506 surebets for this event,+ 506 surebets for this event,+ 506 surebets for this event,+ 506 surebets for this event,+ 506 surebets for this event,
,1.00%  9m,Tempo​Bet Football,14/05 18:30,Rennes – Troyes France - Ligue 1,Under 6,1.11,●,
,1.00%  9m,Pin​nacle Football,14/05 18:30,Rennes – Troyes AC France - Ligue 1,Total ≥6,5.780,,
,1.00%  9m,Lv​bet Football,14/05 18:30,Stade Rennais – ES Troyes France - Ligue 1,Over 6.5,12.50,,
,1.00%  9m,+ 1641 surebets for this event,+ 1641 surebets for this event,+ 1641 surebets for this event,+ 1641 surebets for this event,+ 1641 surebets for this event,+ 1641 surebets for this event,
,1.00%  1m,Sports​Bet Football,14/05 18:30,SV Gonsenheim – FK 03 Pirmasens germany - Oberliga,AH2(+0.25),1.89,○,
,1.00%  1m,Pin​nacle Football,14/05 18:30,SV Gonsenheim – FK Pirmasens Germany - Oberliga Rheinland-Pfalz/Saar,AH1(0),1.900,●,
,1.00%  1m,Lv​bet Football,14/05 18:30,SV Gonsenheim – FK 03 Pirmasens Germany - Oberliga,1,2.45,○,
,1.00%  1m,+ 1150 surebets for this event,+ 1150 surebets for this event,+ 1150 surebets for this event,+ 1150 surebets for this event,+ 1150 surebets for this event,+ 1150 surebets for this event,
,1.00%  1m,Pin​nacle Football,14/05 18:00,Eskilstuna United DFF – Jitex BK Sweden - Elitettan Women,AH1(+0.25) 1st period,1.719,●,
,1.00%  1m,Sport​ium (CO) Football,14/05 18:00,Eskilstuna United (W) – Jitex BK (W) Sweden - Elitettan Women,X 1st period,2.30,,
,1.00%  1m,Tempo​Bet Football,14/05 18:00,Eskilstuna United Df – Jitex Dff Sweden Amateur - Norrettan Women,2 1st period,3.15,○,
,1.00%  1m,+ 982 surebets for this event,+ 982 surebets for this event,+ 982 surebets for this event,+ 982 surebets for this event,+ 982 surebets for this event,+ 982 surebets for this event,
,1.00%  18m,Pin​nacle Handball,14/05 20:30,CSM Galati – CS Magura Cisnadie Romania Liga Nationala Women,AH1(+4),2.210,,
,1.00%  18m,Leon Handball,14/05 20:30,"Галаци – Магура Чиснэдие Румыния - Национальная Лига, Женщины",AH2(−4),1.86,●,
,1.00%  18m,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,+ 107 surebets for this event,
,1.00%  5h,Novi​Bet Football,15/05 18:30,Diagoras Rodou – Iraklis Greece - Super League 2,Over 2,1.86,●,
,1.00%  5h,Pin​nacle Football,15/05 18:30,Diagoras Rhodes – Iraklis 1908 Greece - Super League 2,Under 2,2.210,,
,1.00%  5h,+ 52 surebets for this event,+ 52 surebets for this event,+ 52 surebets for this event,+ 52 surebets for this event,+ 52 surebets for this event,+ 52 surebets for this event,
,1.00%  1h,Dafa​bet (Dafa Sports) Volleyball,14/05 16:30,"South Gas Club – Shahdab Yazd Volleyball / International / Asian Club Championship, Group B",AH1(+4.5) 1st set,2.01,●,
,1.00%  1h,Pin​nacle Volleyball,14/05 16:30,South Gas Club – Shahdab Yazd Asia Club Championship,AH2(−4.5) 1st set,2.030,○,
,1.00%  1h,+ 57 surebets for this event,+ 57 surebets for this event,+ 57 surebets for this event,+ 57 surebets for this event,+ 57 surebets for this event,+ 57 surebets for this event,
,1.00%  3h,Pin​nacle Football,14/05 21:00,Arsenal – Brighton and Hove Albion England - Premier League,1 to win to nil,4.270,,
,1.00%  3h,Fon​Bet Football,14/05 21:00,Арсенал – Брайтон Футбол. Англия. Премьер-Лига,Goals: Yes 2nd team,1.40,●,
,1.00%  3h,Betsul Football,14/05 21:00,Arsenal FC – Brighton & Hove Albion FC Inglaterra - Premier League,Total =0,24.01,,
,1.00%  3h,+ 754 surebets for this event,+ 754 surebets for this event,+ 754 surebets for this event,+ 754 surebets for this event,+ 754 surebets for this event,+ 754 surebets for this event,
,1.00%  4h,Leon Football,14/05 22:00,Юнион Сен-Жиль – Генк Бельгия - Высшая Лига,AH1(+1) - corners,1.49,●,
,1.00%  4h,Pin​nacle Football,14/05 22:00,Union Saint-Gilloise – Genk Belgium - First Division A Corners,AH2(−0.5) - corners,2.390,,
,1.00%  4h,Bet​Victor Football,14/05 22:00,Union St Gilloise – Genk BEL Jupiler,2(1:0) - corners,3.70,,
,1.00%  4h,+ 114 surebets for this event,+ 114 surebets for this event,+ 114 surebets for this event,+ 114 surebets for this event,+ 114 surebets for this event,+ 114 surebets for this event,
,1.00%  20h,Cool​Bet Football,14/05 18:30,Vålerenga Women – FK Lyn Women Norway - Toppserien,1 / DNB,1.12,●,
,1.00%  20h,TOTOgaming Football,14/05 18:30,Valerenga(W) – Lyn(W) Norway - Women. Norway. Toppserien,X,7.00,,
,1.00%  20h,Pin​nacle Football,14/05 18:30,Valerenga IF – Lyn Norway - Toppserien Women,2,12.000,,
,1.00%  20h,+ 71 surebets for this event,+ 71 surebets for this event,+ 71 surebets for this event,+ 71 surebets for this event,+ 71 surebets for this event,+ 71 surebets for this event,
,1.00%  1m,18​Bet Football,14/05 18:30,Brann B – Baerum Norway - Norway Second Division,AH1(+0.25),1.95,●,
,1.00%  1m,Pin​nacle Football,14/05 18:30,SK Brann 2 – Baerum SK Norway - 2nd Division,X,3.610,,
,1.00%  1m,Win​line (RU) Football,14/05 18:30,Бранн 2 – Берум Норвегия - 2-й Дивизион,2,2.44,○,
,1.00%  1m,+ 200 surebets for this event,+ 200 surebets for this event,+ 200 surebets for this event,+ 200 surebets for this event,+ 200 surebets for this event,+ 200 surebets for this event,
,1.00%  5h,Bet365 Football,14/05 23:30,Social Atletico Television Women – CA Independiente Women Argentina Championship Women,1 / DNB,4.33,●,
,1.00%  5h,Sport​ium (CO) Football,14/05 23:30,Social Atletico Television (W) – CA Independiente (W) Argentina - Primera A Women,X,4.25,○,
,1.00%  5h,Pin​nacle Football,14/05 23:30,Satsaid – CA Independiente Argentina - Primera Division Women,2,1.729,,
,1.00%  5h,+ 289 surebets for this event,+ 289 surebets for this event,+ 289 surebets for this event,+ 289 surebets for this event,+ 289 surebets for this event,+ 289 surebets for this event,
,1.00%  1m,Bet​City Football,14/05 23:30,Columbus Crew II – Orlando City SC II Soccer. USA. MLS Next Pro.,Under 3,2.08,●,
,1.00%  1m,Pin​nacle Football,14/05 23:30,Columbus Crew 2 – Orlando City B USA - MLS Next Pro League,Over 2.75,1.819,○,
,1.00%  1m,Merry​Bet Football,14/05 23:30,Columbus Crew 2 – Orlando City II USA - MLS Next Pro,Over 3.5,2.34,,
,1.00%  1m,+ 205 surebets for this event,+ 205 surebets for this event,+ 205 surebets for this event,+ 205 surebets for this event,+ 205 surebets for this event,+ 205 surebets for this event,
,1.00%  3h,Pin​nacle Football,15/05 20:00,Unirea Dej – CSM Politehnica Iasi Romania - Liga 2,AH2(0) 1st period,1.680,●,
,1.00%  3h,22​Bet Football,15/05 20:00,Unirea Dej – Politehnica Iasi [35738] Romania. Liga 2,AH1(+0.25) 1st period,1.71,,
,1.00%  3h,22​Bet Football,15/05 20:00,Unirea Dej – Politehnica Iasi [35738] Romania. Liga 2,1 1st period,5.10,○,
,1.00%  3h,+ 616 surebets for this event,+ 616 surebets for this event,+ 616 surebets for this event,+ 616 surebets for this event,+ 616 surebets for this event,+ 616 surebets for this event,
,1.00%  11m,Bet​Victor Football,14/05 16:30,Lamia 1964 U19 – OFI U19 GRE U19 League,Over 1 1st period,2.40,●,
,1.00%  11m,Win​mas​ters Football,14/05 16:30,Lamia U19 – OFI Crete U19 Greece - U19 Super League 2022/2023,Under 1.25 1st period,1.53,,
,1.00%  11m,Pin​nacle Football,14/05 16:30,Lamia – OFI Greece - Super League U19,Under 0.5 1st period,2.610,,
,1.00%  11m,+ 58 surebets for this event,+ 58 surebets for this event,+ 58 surebets for this event,+ 58 surebets for this event,+ 58 surebets for this event,+ 58 surebets for this event,
,1.00%  3m,1x​Bet Football,14/05 16:30,Stenungsunds – Yxhults [75229] Sweden. Division 2. Northern Gotaland,AH1(−0.25),1.29,○,
,1.00%  3m,Pin​nacle Football,14/05 16:30,Stenungsunds IF – Yxhults IK Sweden - 2nd Div. Norra Gotaland,X,5.870,,
,1.00%  3m,Bet-at-home Football,14/05 16:30,Stenungsunds IF – Yxhults IK Sweden - 2. Division Norra Gotaland 2023,2 / DNB,7.50,●,
,1.00%  3m,+ 179 surebets for this event,+ 179 surebets for this event,+ 179 surebets for this event,+ 179 surebets for this event,+ 179 surebets for this event,+ 179 surebets for this event,
